i1,i2,o1
0.1201793692,0.09990336598,0.02442376331
0.1036639919,0.9073977523,0.8341169041
0.5837610781,0.801252863,0.9827831467
0.9232215404,0.691269091,1.330190969
0.5005105008,0.1524513859,0.2737521864
0.8875702793,0.784235244,1.402805919
0.05950775358,0.07191367509,0.008712749401
0.4246205869,0.8396830319,0.8853702368
0.6857530389,0.8556676513,1.20242436
0.9286546856,0.4290343374,1.046469988
0.4818766576,0.3435662145,0.3502428568
0.5244812821,0.04122351627,0.2767799935
0.4797301281,0.2431726689,0.2892739427
0.384282088,0.5009423523,0.3986159635
0.7843013408,0.4384902325,0.8074022772
0.8064713217,0.7153298441,1.162092779
0.9511129329,0.07218182923,0.9098260277
0.7455839161,0.9906503083,1.537283409
0.323749029,0.6160618013,0.4843455768
0.8040043187,0.8129891513,1.307374305
0.6456086928,0.01688402664,0.4170956545
0.2557544758,0.5118552588,0.3274061579
0.0777208022,0.7573680684,0.5796469141
0.9432080203,0.7526981524,1.456195878
0.03392441032,0.4436960063,0.1980170116
0.6712474618,0.2917326029,0.5356810666
0.6704878733,0.4111931276,0.6186337764
0.3999140624,0.9102472395,0.9884812942
0.8270070374,0.1235256726,0.6991992317
0.3140233291,0.2900140628,0.1827188078
0.05000537682,0.5745743841,0.3326362606
0.01266759981,0.7388957905,0.5461274573
0.5840052018,0.9363725612,1.217855649
0.2272561677,0.8967754462,0.8558515666
0.8840160408,0.7344492003,1.320899988
0.8361376801,0.6951399666,1.182345793
0.9885936684,0.4800392091,1.207755084
0.5174160593,0.08579538099,0.2750802258
0.6471754564,0.006481824341,0.4188780854
0.2679425078,0.1501572133,0.09434037619
0.2757465775,0.5074224559,0.3335137237
0.6424012026,0.7333548171,0.9504885928
0.9306021724,0.1729811926,0.8959428963
0.9367862061,0.3781447863,1.020561875
0.553740865,0.2857989424,0.388309981
0.4884015875,0.05160416505,0.2411991005
0.7210750089,0.04389021844,0.5218755197
0.7009367057,0.5301516696,0.7723730582
0.1851169992,0.2967144927,0.1223077936
0.567433927,0.7311331706,0.8565369747
0.2691710312,0.8431474286,0.7833506304
0.1734569604,0.2256370103,0.08099937752
0.9655187113,0.1765321361,0.963389977
0.5629954296,0.439136541,0.5098047554
0.6939577504,0.2572927089,0.5477768975
0.1642348557,0.02387024957,0.02754287664
0.5707795456,0.435389242,0.5153530817
0.7530415602,0.7775755784,1.171695371
0.6564231658,0.374008233,0.5707735309
0.3087395917,0.5734213885,0.4241322243
0.6303186867,0.2862591675,0.4792459578
0.5475011921,0.6699946428,0.7486503767
0.2746479694,0.9853570835,1.046360089
0.9395655542,0.680372515,1.34569019
0.8288543752,0.8660083371,1.436970015
0.4917998571,0.4161584985,0.4150549953
0.9507945556,0.633801525,1.30571466
0.9492069784,0.8845143159,1.683359463
0.6386379286,0.236784959,0.4639255206
0.6083698565,0.3304346524,0.4793009419
0.9333070905,0.338653593,0.9857483812
0.9911402049,0.3876745026,1.132650426
0.6408574766,0.8187708401,1.081083994
0.8748841279,0.9628525841,1.692507336
0.2472882683,0.1564308429,0.08562209627
0.8711723117,0.339457726,0.8741727444
0.9075551545,0.3242730274,0.9288093547
0.9709577524,0.3910295622,1.095663075
0.09183778391,0.600660737,0.3692274995
0.3921485896,0.5530589375,0.4596547047
0.5843469338,0.8383276799,1.044254638
0.1643197712,0.9666605405,0.9614335877
0.9252085494,0.4749966858,1.081632711
0.2324934246,0.697446046,0.5404841796
0.639430052,0.4224331901,0.5873205915
0.3529650049,0.2020275216,0.1653994141
0.2369562831,0.8580801554,0.7924498332
0.6626923512,0.8920890785,1.234984076
0.7258078014,0.5057256194,0.7825553666
0.8315537372,0.1899914172,0.7275783564
0.4408292311,0.8194025676,0.8657509787
0.03370578768,0.4165472981,0.1746477317
0.2413568007,0.3718543677,0.196528776
0.308335188,0.06518745635,0.09931999264
0.4129644258,0.9424916844,1.058830192
0.00743775177,0.9396074156,0.8829174156
0.9653074035,0.2500115538,0.9943241604
0.06312778538,0.5346527559,0.2898386867
0.9470274121,0.8850671403,1.680204762
0.4417654807,0.2712996678,0.2687602497
